Order_ID,Agent_Age,Agent_Rating,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude,Order_Date,Order_Time,Pickup_Time,Weather,Traffic,Vehicle,Area,Start_to_End_Time(min),Category,Jarak(km),Tingkat_Rating,Order_Time_Hour,Order_Pickup_Time(min),Delivery_Time(min),Average_Speed(km_per_min),z_score
ialx566343618,37,4.9,22.745049,75.892471,22.765049,75.912471,2022-03-19,2024-10-24 11:30:00,2024-10-24 11:45:00,Sunny,High,motorcycle,Urban,120,Clothing,3.02,Very Good,11,15.0,105.0,0.025166666666666667,0.2091244635332469
njpu434582536,23,4.4,12.914264,77.6784,12.924264,77.6884,2022-03-19,2024-10-24 08:30:00,2024-10-24 08:45:00,Sandstorms,Low,motorcycle,Urban,130,Sports,1.55,Good,8,15.0,115.0,0.011923076923076923,0.4160584206547144
fxuu788413734,22,4.8,17.431668,78.408321,17.461668,78.438321,2022-03-11,2024-10-24 21:20:00,2024-10-24 21:30:00,Cloudy,Jam,motorcycle,Urban,130,Toys,4.61,Very Good,21,10.0,120.0,0.03546153846153846,0.4160584206547144
vwmc439983136,21,4.7,22.552672,88.352885,22.582672,88.382885,2022-02-15,2024-10-24 21:15:00,2024-10-24 21:30:00,Windy,Jam,motorcycle,Urban,75,Jewelry,4.54,Very Good,21,15.0,60.0,0.060533333333333335,-0.7220783435133566
edrh271340988,27,5.0,26.849596,75.800512,26.879596,75.830512,2022-04-05,2024-10-24 20:35:00,2024-10-24 20:40:00,Stormy,Jam,motorcycle,Urban,90,Cosmetics,4.47,Very Good,20,5.0,85.0,0.049666666666666665,-0.4116774078311555
xjps180812498,23,4.8,18.51421,73.838429,18.62421,73.948429,2022-04-02,2024-10-24 23:35:00,2024-10-24 23:45:00,Windy,Low,van,Urban,60,Jewelry,16.85,Very Good,23,10.0,50.0,0.2808333333333334,-1.032479279195558
itii428784576,36,4.1,21.160437,72.774209,21.210437,72.824209,2022-03-05,2024-10-24 22:35:00,2024-10-24 22:40:00,Stormy,Low,motorcycle,Urban,110,Cosmetics,7.6,Good,22,5.0,105.0,0.06909090909090909,0.0021905064117794283
asis944862845,26,4.3,15.51315,73.78346,15.56315,73.83346,2022-02-11,2024-10-24 23:25:00,2024-10-24 23:35:00,Sandstorms,Low,motorcycle,Urban,105,Jewelry,7.72,Good,23,10.0,95.0,0.07352380952380952,-0.1012764721489543
xzkg140273315,38,4.9,15.561295,73.749478,15.601295,73.789478,2022-02-11,2024-10-24 13:35:00,2024-10-24 13:40:00,Cloudy,High,scooter,Urban,125,Shoes,6.17,Very Good,13,5.0,120.0,0.04936,0.3125914420939806
tixw400453550,20,4.7,18.593481,73.785901,18.633481,73.825901,2022-04-03,2024-10-24 14:15:00,2024-10-24 14:25:00,Windy,High,scooter,Urban,50,Toys,6.13,Very Good,14,10.0,40.0,0.1226,-1.2394132363170254
